cliente,proporción
,0.0002892681515765114
GELCO SAS,0.031240960370263235
CERVECERIA NACIONAL,0.0014463407578825572
CI OCEANOS ,0.007520971940989297
CI OCEANOS,0.007520971940989297
CZARNIKOW GROUP LIMITED,0.0054960948799537175
COLPLAT,0.005206826728377205
PET DEL CARIBE SA,0.004917558576800694
MAGOFRUIT S.A.S,0.0046282904252241824
ARTISAN TROPIC,0.004339022273647671
COLOMBIAN ROOTS COMPANY SAS,0.0034712178189181373
UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.,0.003181949667341626
DITAR S.A.,0.0026034133641886026
PANAMETCO,0.0017356089094590686
GRUPO ALVASA,0.0014463407578825572
SESDERMA,0.0014463407578825572
A&S ALUMINUM SUPPLY INC,0.0014463407578825572
COLBRAND LLC,0.0014463407578825572
EXPO E IMPO MONTERROSA S.A.S,0.0014463407578825572
PROPULSORA S.A.S,0.0011570726063060456
COFINET UK,0.0011570726063060456
H UJUETA SAS,0.0008678044547295343
WORLD WIDE FROZEN FOODS,0.0008678044547295343
BOSANET LLC,0.0008678044547295343
FIBERGLASS,0.0005785363031530228
"NORTHSIDE INTERNATIONAL, LLC",0.0005785363031530228
DULCES LA AMERICANA S.A.S,0.0005785363031530228
TECNOLOGIA EN CUBRIMIENTO S.A,0.0005785363031530228
IMPORTADORA DE PRODUCTOS DE CONSUMO SAS,0.0005785363031530228
DECOPLASTIC,0.0005785363031530228
ABD ALQUILERES SAS,0.0005785363031530228
OLHAR S.A.S.,0.0002892681515765114
VIZZION,0.0002892681515765114
CATTLEMEAT,0.0002892681515765114
RB TRADING CORP,0.0002892681515765114
KATAMAN METALS LLC,0.0002892681515765114
UN SOLO PROVEEDOR ZF S.A.S,0.0002892681515765114
SISTEMAS INFORMATICA MUEBLES MANTENIMIENTOS E INFRAESTRUCTURAS S.A.S,0.0002892681515765114
MERCA LP INTERNATIONAL,0.0002892681515765114
COMPAÑIA CAFETERA DE COLOMBIA S.A.S,0.0002892681515765114
MEICO USA LLC,0.0002892681515765114
AMARELLA CAFE,0.0002892681515765114
GLOPACK ,0.0002892681515765114
GLOPACK,0.0002892681515765114
CERAMICA CASTELLON,0.0002892681515765114
